2024-10-23 17:09:38,Car,378,413,61,47
2024-10-23 17:09:38,Car,562,311,30,21
2024-10-23 17:09:38,Car,492,327,41,28
2024-10-23 17:09:38,Car,859,436,73,60
2024-10-23 17:09:38,Car,533,363,43,35
2024-10-23 17:09:38,Car,440,329,34,18
2024-10-23 17:09:38,Car,735,400,60,61
2024-10-23 17:09:38,Car,1031,492,118,88
2024-10-23 17:09:38,Car,679,302,27,21
2024-10-23 17:09:38,Car,205,439,91,57
2024-10-23 17:09:38,Car,280,667,174,54
2024-10-23 17:09:40,Car,875,452,80,62
2024-10-23 17:09:40,Car,281,644,173,76
2024-10-23 17:09:40,Car,1075,526,140,99
2024-10-23 17:09:41,Car,751,421,66,68
2024-10-23 17:09:41,Car,1139,567,142,117
2024-10-23 17:09:41,Car,1154,585,132,117
2024-10-23 17:09:42,Car,765,455,72,79
2024-10-23 17:09:42,Car,251,416,77,50
2024-10-23 17:09:42,Car,355,576,128,98
2024-10-23 17:09:43,Car,992,570,136,109
2024-10-23 17:09:44,Car,378,547,117,93
2024-10-23 17:09:44,Car,812,555,138,125
2024-10-23 17:09:46,Car,869,638,171,82
2024-10-23 17:09:51,Car,451,456,75,64
2024-10-23 17:09:55,Car,750,300,29,16
2024-10-23 17:10:02,Car,843,677,221,40
2024-10-23 17:10:08,Car,527,361,40,35
2024-10-23 17:10:08,Car,709,392,63,58
2024-10-23 17:10:08,Car,568,306,33,19
2024-10-23 17:10:08,Car,416,336,44,24
2024-10-23 17:10:08,Car,494,323,39,22
2024-10-23 17:10:08,Car,730,288,29,15
2024-10-23 17:10:10,Car,349,561,143,103
2024-10-23 17:10:10,Car,28,685,154,36
2024-10-23 17:10:11,Car,860,655,179,66
2024-10-23 17:10:11,Car,831,350,44,36
2024-10-23 17:10:12,Car,19,644,203,76
2024-10-23 17:10:12,Car,739,463,87,73
2024-10-23 17:10:13,Car,278,374,92,71
2024-10-23 17:10:13,Car,751,466,98,95
2024-10-23 17:10:13,Car,65,614,182,106
2024-10-23 17:10:13,Car,852,366,52,37
2024-10-23 17:10:14,Car,397,505,105,79
